return-date,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,customer-comments
2019-02-17T23:07:01+00:00,HM0701-R-36,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-17T00:19:19+00:00,HM0731-Z-42,1,SMF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-16T14:17:43+00:00,HM0722-L-38,1,SDF9,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,
2019-02-16T05:21:42+00:00,HM0722-X-39,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-16T04:14:45+00:00,HM0715-3239,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-16T04:14:45+00:00,HM0803-3242,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-15T23:49:04+00:00,HM0722-M-38,1,LAS2,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,The color is NOT pink!
2019-02-15T14:42:39+00:00,HM0701-1842,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-15T14:42:39+00:00,HM0701-1141,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-15T14:42:39+00:00,HM0709-1941,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-15T14:42:39+00:00,HM0701-1238,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-15T14:42:39+00:00,HM0709-1241,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-15T14:42:39+00:00,HM0701-1242,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-15T14:40:55+00:00,HM0701-2142,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-15T14:40:55+00:00,HM0701-F-42,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-14T16:37:31+00:00,HM0801-B-45,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-14T10:36:00+00:00,HM0731-H-42,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-14T02:24:47+00:00,HM0701-R-37,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-02-13T20:16:06+00:00,HM0722-B-38,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-02-13T15:47:19+00:00,HM0709-1239,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-12T20:27:58+00:00,HM0731-Y-41,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-12T00:43:20+00:00,HM0701-2137,1,LAS2,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,
2019-02-11T22:57:07+00:00,HM0747-0138,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,"need a bigger size, these run too small"
2019-02-11T17:51:06+00:00,HM0731-Z-41,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-11T14:11:30+00:00,HM0701-1240,1,SDF9,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,
2019-02-10T21:57:52+00:00,HM0701-H-39,1,LAS2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-10T21:53:47+00:00,HM0725-136,1,BUF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-02-09T15:50:02+00:00,HM0738-Z-38,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-09T15:15:47+00:00,HM0731-Z-41,1,LEX2,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,
2019-02-09T08:43:51+00:00,HM0701-F-36,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
